transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount
T31246,C007,P006,2023-06-12,1,1200,1200
T35164,C001,P001,2024-01-11,1,55000,55000
T41692,C009,P004,2023-02-04,3,500,1500
T29724,C010,P005,2024-01-19,1,30000,30000
T29097,C004,P003,2023-03-05,1,7500,7500
T32492,C002,P002,2023-04-21,2,2000,4000
T8950,C009,P004,2023-01-28,2,500,1000
T41973,C010,P005,2024-04-13,2,30000,60000
T5448,C003,P003,2024-03-07,2,7500,15000
T27354,C003,P003,2023-02-09,1,7500,7500
T50597,C008,P007,2023-11-12,11,150,1650
T37567,C001,P001,2023-02-12,1,55000,55000
T46083,C003,P003,2023-04-08,2,7500,15000
T47613,C003,P003,2024-11-28,2,7500,15000
T52967,C002,P002,2024-09-08,2,2000,4000
T3960,C004,P003,2023-02-22,2,7500,15000
T26326,C001,P001,2024-07-11,2,55000,110000
T41451,C010,P005,2024-12-05,1,30000,30000
T21286,C001,P001,2023-01-24,1,55000,55000
T36002,C002,P002,2024-03-24,3,2000,6000
T13566,C003,P003,2023-04-13,1,7500,7500
T48749,C001,P002,2023-04-08,2,2000,4000
T14787,C004,P003,2023-03-20,2,7500,15000
T15711,C010,P005,2023-06-23,1,30000,30000
T44547,C010,P005,2024-04-23,1,30000,30000
T6314,C001,P002,2023-06-10,1,2000,2000
T10908,C004,P003,2023-05-09,1,7500,7500
T3726,C004,P003,2024-09-21,2,7500,15000
T3893,C001,P002,2024-05-17,2,2000,4000
T15520,C009,P004,2023-11-17,2,500,1000
T51970,C009,P004,2024-11-04,2,500,1000
T35165,C002,P002,2024-01-03,1,2000,2000
T28368,C004,P003,2024-08-29,2,7500,15000
T6501,C003,P003,2024-04-18,2,7500,15000
T26830,C001,P001,2024-03-08,1,55000,55000
T13933,C001,P001,2023-01-05,1,55000,55000
T54241,C007,P006,2023-01-19,2,1200,2400
T46577,C002,P002,2024-01-21,2,2000,4000
T48913,C007,P006,2023-12-16,3,1200,3600
T39339,C004,P003,2024-03-06,1,7500,7500
T36065,C002,P002,2024-06-03,2,2000,4000
T25985,C002,P002,2023-06-29,2,2000,4000
T19056,C003,P003,2024-10-02,1,7500,7500
T35271,C004,P003,2023-01-30,1,7500,7500
T2005,C007,P006,2024-04-29,3,1200,3600
T5229,C004,P003,2024-08-23,1,7500,7500
T33366,C003,P003,2023-03-11,2,7500,15000
T48589,C007,P006,2023-01-19,1,1200,1200
T2583,C004,P003,2024-04-28,2,7500,15000
T12208,C009,P004,2023-10-25,2,500,1000
T35220,C003,P003,2024-01-05,2,7500,15000
T42808,C009,P004,2024-11-17,4,500,2000
T54607,C009,P004,2024-10-20,2,500,1000
T39955,C009,P004,2023-06-23,2,500,1000
T49035,C003,P003,2024-11-27,1,7500,7500
T26349,C010,P005,2023-01-03,1,30000,30000
T13146,C010,P005,2024-01-13,1,30000,30000
T24080,C001,P002,2023-06-15,2,2000,4000
T20730,C003,P003,2023-05-06,2,7500,15000
T30356,C008,P007,2023-08-05,9,150,1350
T30679,C007,P006,2023-11-12,1,1200,1200
T37167,C010,P005,2024-09-08,1,30000,30000
T14856,C010,P005,2024-02-14,1,30000,30000
T23946,C010,P005,2023-05-30,2,30000,60000
T53063,C008,P007,2023-03-04,11,150,1650
T6627,C003,P003,2023-04-11,1,7500,7500
T34473,C003,P003,2024-03-15,1,7500,7500
T21237,C010,P005,2023-12-17,1,30000,30000
T22039,C007,P006,2023-08-23,1,1200,1200
T48078,C004,P003,2023-09-11,2,7500,15000
T31182,C010,P005,2023-12-28,1,30000,30000
T46364,C001,P002,2024-09-23,1,2000,2000
T37847,C002,P002,2023-10-08,1,2000,2000
T2901,C003,P003,2023-10-11,2,7500,15000
T6089,C001,P002,2024-10-29,1,2000,2000
